# id|form|meaning|use|contrast|valid alternatives and limits
de.c.105|starke, schwache und gemischte Adjektivflexion|Kasus-/Genus-/Numerusinformation in der Nominalgruppe|Vollständige attributive Nominalgruppen bilden.|Ohne Artikel gelten andere Endungsmuster als nach bestimmtem Artikel.|Syntaktische Umformung kann eine Eigenschaft erhalten, ersetzt aber nicht den Nachweis der Endung.
de.c.106|Pronominaladverb mit rekonstruierbarem Präpositionalbezug|Verweis auf ein Ereignis oder einen Sachverhalt|Textzusammenhang herstellen.|Daran und darauf setzen unterschiedliche Präpositionen voraus.|Eine explizite Präpositionalphrase ist möglich, wenn der Bezug erhalten bleibt.
de.c.107|Futur I in prognostischer oder epistemischer Verwendung|erwartetes Ereignis oder Vermutung|Prognosen von sicheren Angaben unterscheiden.|Er wird zu Hause sein kann die Gegenwart betreffen.|Vermutlich + Präsens kann passen; zeitlicher Bezug und Sicherheit müssen erhalten bleiben.
de.c.108|werden + Partizip versus sein + Partizip|Vorgang versus resultierender Zustand|Prozess und Ergebnis unterscheiden.|Wird geöffnet unterscheidet sich von ist geöffnet.|Eine Aktiv- oder Adjektivparaphrase braucht dieselbe Ereignis- oder Zustandslesart.
de.c.109|bevor/nachdem/seitdem + Temporalsatz|Nachzeitigkeit, Vorzeitigkeit oder zeitlicher Ausgangspunkt|Ereignisse zeitlich verknüpfen.|Die Konjunktion und die Tempora müssen eine kohärente Zeitrelation ergeben.|Nominale Zeitangaben sind möglich, wenn dieselbe Relation ausdrückbar bleibt.
de.c.110|ohne zu/anstatt zu + Infinitivgruppe|ausbleibende Begleithandlung oder ersetzte Handlung|Handlungsalternativen und Auslassungen beschreiben.|Ohne dass/anstatt dass kann ein eigenes Subjekt explizit machen.|Nur umformen, wenn Subjektbezug und Negation erhalten bleiben.
de.c.111|lassen als Vollverb oder mit Infinitiv|Zulassen, Veranlassen oder Belassen|Handlungsmöglichkeiten und Aufträge beschreiben.|Lassen + Infinitiv ist nicht in jeder Lesart passiv.|Zulassen/veranlassen/sich lassen benötigen jeweils eine passende Bedeutungszuordnung.
de.c.112|nicht/kein ... brauchen + zu-Infinitiv|fehlende Notwendigkeit|Eine Pflicht verneinen.|Nicht brauchen verneint eine Pflicht; nicht dürfen verbietet eine Handlung.|Nicht müssen ist häufig eine passende Alternative; regionale zu-Auslassung getrennt behandeln.
de.c.113|zweiteilige Verknüpfung mit parallelen Gliedern|Addition, Alternative, Einschränkung oder Gradrelation|Mehrere Elemente geordnet verbinden.|Nicht nur ... sondern auch unterscheidet sich von entweder ... oder.|Beide Teile müssen syntaktisch zu ihren Bezugsstücken passen.
de.c.114|Genitivpräposition + Nominalgruppe|räumliche, zeitliche oder abstrakte Relation|Formellere Relationen ausdrücken.|Während als Präposition unterscheidet sich vom gleichlautenden Subjunktor.|Belegte Kasusvariation ist register- und konstruktionsempfindlich.
de.c.115|Redebericht im Konjunktiv I|zugeschriebene Aussage ohne eigene Wahrheitsgarantie|Berichte sachlich wiedergeben.|Konjunktiv I beweist nicht, dass die Aussage falsch ist.|Ersatzkonjunktiv ist bei Formgleichheit und passendem Register möglich.
de.c.116|Modalpartikel in lizenzierter Gesprächsposition|Erwartung, Haltung oder Gesprächsanschluss|Äußerungen pragmatisch abstimmen.|Doch als Partikel unterscheidet sich vom Konnektor doch.|Weglassen kann die Proposition erhalten, verändert aber die Gesprächswirkung.
de.c.117|mehrteilige temporale Verknüpfung|überlappende oder gestaffelte Zeitbeziehungen|Komplexe Abläufe erklären.|Solange, sobald und während kodieren verschiedene Relationen.|Umformungen müssen Beginn, Ende und Überlappung erhalten.
de.c.118|dennoch/gleichwohl als Konnektoradverb|Fortgeltung trotz Gegenargument|Einräumung und Schlussfolgerung verbinden.|Konzession unterscheidet sich von logischem Widerspruch.|Trotzdem ist oft weniger formell; Syntax und Aussagebeziehung bleiben zu prüfen.
de.c.119|kausale und konsekutive Verknüpfungen|Grund und Folge|Eine Erklärung nachvollziehbar formulieren.|Ein zeitliches Nacheinander ist nicht automatisch Kausalität.|Weil/deshalb/sodass können Perspektive und Gewissheit verändern.
de.c.120|erweitertes Partizip als flektiertes Attribut|verdichtete Beschreibung eines Referenten|Komplexe Merkmale knapp ausdrücken.|Attributbezug und Partizipvalenz müssen eindeutig sein.|Ein Relativsatz kann denselben Inhalt entfalten.
de.c.121|substantiviertes Adjektiv mit Großschreibung und Flexion|Person oder Sache über eine Eigenschaft|Gruppen und abstrakte Eigenschaften benennen.|Ein Deutscher und der Deutsche zeigen unterschiedliche Endungen.|Ein explizites Nomen mit Adjektiv kann passen, wenn der Referent gleich bleibt.
de.c.122|erweiterte oder mehrteilige Präposition mit Genitivanschluss|präzise formelle Relation|Fachliche Zusammenhänge benennen.|Innerhalb und aufgrund drücken unterschiedliche Relationen aus.|Eine Nebensatzparaphrase muss Zeit-, Raum- oder Kausalrelation erhalten.
de.c.123|lexikalisierte Nomen-Verb-Verbindung mit Ergänzungen|konventioneller Vorgang mit Aspekt- oder Registerwirkung|Fachliche Vorgänge präzise benennen.|Zur Verfügung stellen unterscheidet sich von zur Verfügung stehen.|Einfaches Verb nur akzeptieren, wenn Rolle, Aspekt und Bedeutung passen.
de.c.124|ausgewählte Konstituente im Vorfeld|thematischer Anschluss oder Kontrast|Den Informationsfluss eines Textes steuern.|Vorfeld ist kein fester Subjektplatz.|Mehrere Vorfeldbesetzungen sind grammatisch, aber nicht immer diskursgleichwertig.
de.c.125|Diskurs-/Modalpartikeln passend zum Register|Gesprächssteuerung und Haltung|Natürlich und adressatengerecht reagieren.|Ein Lexem kann als Partikel und in anderer Wortart auftreten.|Ersatz oder Weglassen verändert oft die pragmatische Wirkung.
de.c.126|Tempuswahl über mehrere Berichtssätze|zeitliche Perspektive im Bericht|Eine nachvollziehbare Chronologie halten.|Deutsch verlangt keine mechanische englische Backshift-Regel.|Alternative Tempora sind nur bei passender Zeit- und Berichtsperspektive zulässig.
de.c.127|lexikalische Valenz mit Kasus-, Präpositional- und Satzergänzungen|Teilnehmerstruktur eines Prädikats|Präzise fachliche Aussagen bilden.|Synonyme Verben können verschiedene Ergänzungsmuster haben.|Umschreibungen müssen semantische Rollen erhalten; Ergänzungen lexikalisch prüfen.
de.c.128|Infinitiv- oder Partizipialgruppe statt finiter Einbettung|verdichtete abhängige Handlung oder Eigenschaft|Komplexe Texte kürzen.|Kontrolle und Anbindung können sich bei Verdichtung verschieben.|Ein finiter Satz bleibt gültig, sofern Rollen und Zeitbezug erhalten bleiben.
de.c.129|indirekte Rede mit Tempus- und Modalkomplex|zeitlich und epistemisch markierte Quelleninformation|Differenziert berichten.|Quelle, Zeit und Sicherheit sind getrennte Bedeutungsdimensionen.|Paraphrasen dürfen diese Dimensionen nicht zusammenfallen lassen.
de.c.130|konditionale Nebensätze oder Verb-Erst-Bedingung|offene, hypothetische oder irreale Bedingung|Voraussetzungen und Konsequenzen präzisieren.|Wenn, falls und sofern haben unterschiedliche Gebrauchsschwerpunkte.|Verb-Erst-Varianten sind bei passender Modus- und Zeitstruktur möglich.
de.c.131|Quellenrahmen und kausale Zuschreibung|begründete, eingeschränkte Verantwortungs- oder Ursachenbehauptung|Wissenschaftliche Schlussfolgerungen formulieren.|Zusammenhang ist nicht automatisch Ursache.|Andere Formulierungen dürfen Evidenzgrad und Zuschreibung nicht verstärken.
de.c.132|Thema-Rhema-Verteilung durch Stellung und Akzent|bekannte und neue Information|An einen Text anschließen und Neues hervorheben.|Thema ist nicht immer identisch mit dem grammatischen Subjekt.|Mehrere lineare Formen sind möglich, sofern der Informationsanschluss funktioniert.
de.c.133|Interpunktion zur Markierung von Syntax und Bezug|sichtbare Struktur und Lesart|Schriftliche Mehrdeutigkeit vermeiden.|Ein Komma ist kein beliebiger Ersatz für eine Sprechpause.|Zulässige Varianten folgen dem Regelwerk und können die Lesart verändern.
de.c.134|Zitat mit syntaktischer Einbettung und Quellenrahmen|Wiedergabe fremder Formulierungen|Wissenschaftlich korrekt zitieren.|Direktes Zitat und Paraphrase haben unterschiedliche Kennzeichnung.|Umformungen außerhalb des Zitats dürfen die zugeschriebene Aussage nicht verändern.
de.c.135|deiktische Formen mit Sprechort, Zeit und Person|kontextabhängige Referenz|Perspektive in Gespräch und Bericht steuern.|Hier/jetzt/ich beziehen sich auf ein bestimmtes deiktisches Zentrum.|Explizite Orts-/Zeit-/Personangaben können den Bezug unabhängig vom Kontext machen.
de.c.136|rück- oder vorausweisender Ausdruck mit Bezugsstück|Referenz über Satzgrenzen|Zusammenhängende Texte bilden.|Anapher blickt zurück; Katapher verweist voraus.|Ein volles Nomen kann einen unsicheren pronominalen Bezug klären.
de.c.137|Negation und Quantifikation mit explizitem Skopus|Reichweite einer verneinten oder quantifizierten Aussage|Präzise Einschränkungen formulieren.|Nicht alle bedeutet nicht dasselbe wie keiner.|Eine Paraphrase ist nur bei gleicher logischer Reichweite äquivalent.
de.c.138|ausdrucksabhängige Voraussetzung oder kontextuelle Folgerung|mitverstandene Information|Implizite Bedeutungen erkennen und steuern.|Präsupposition und konversationelle Implikatur verhalten sich unterschiedlich.|Explizitmachen kann informieren, verändert aber die Gesprächsannahmen.
de.c.139|Verteilung komplexer Information auf Phrasen und Sätze|Verarbeitbarkeit bei erhaltener Genauigkeit|Dichte Inhalte verständlich aufbauen.|Weniger Wörter bedeuten nicht automatisch mehr Klarheit.|Aufteilen, Umstellen und Explizieren sind bei erhaltener Relation gültig.
de.c.140|regionale Standardvarianten mit Kontextkennzeichnung|zulässige Variation|Zielvarietät und Register bewusst wählen.|Regionale Form ist nicht automatisch Grammatikfehler.|Belegte Varianten brauchen eine Herkunfts-/Registerangabe statt pauschaler Ablehnung.
de.c.141|epistemische Modalität und Evidenzmarker|Sicherheit und Herkunft des Wissens|Behauptungen nach ihrer Grundlage abstufen.|Vermutung und Hörensagen sind verschiedene Evidenzbeziehungen.|Alternative Marker müssen sowohl Stärke als auch Quelle erhalten.
de.c.142|Reformulierung für eine andere Textsorte|gleiches Kernanliegen in neuen Konventionen|Bericht, Nachricht und Gespräch ineinander überführen.|Textsortenwechsel darf Fakten oder Verbindlichkeit nicht still verändern.|Mehrere Lösungen sind möglich, wenn Inhalt, Zweck und angemessenes Register stimmen.
de.c.143|Satzlänge, Parallelität und Informationsgewicht|Rhythmus und Verständlichkeit|Längere Beiträge flüssig gestalten.|Rhythmus ersetzt keine syntaktische oder logische Korrektheit.|Verschiedene Satzfolgen können funktionieren; beabsichtigte Hervorhebung prüfen.
de.c.144|Diagnose einer konkreten Abweichung und gezielte Reformulierung|beabsichtigte Aussage in korrekter klarer Form|Eigene und fremde Texte präzise überarbeiten.|Eine stilistische Präferenz ist nicht automatisch eine Grammatikregel.|Mehrere Reparaturen sind zulässig, wenn sie Ursache und beabsichtigte Bedeutung berücksichtigen.
